INFO:
51   0.255          -1.73769       0.115063       
52   0.26           -1.69833       0.110398       
53   0.265          -1.65992       0.106005       
54   0.27           -1.62244       0.101865       
55   0.275          -1.58587       0.0979612      
56   0.28           -1.55016       0.094277       
57   0.285          -1.5153        0.0907976      
58   0.29           -1.48127       0.0875095      
59   0.295          -1.44803       0.0843999      
60   0.3            -1.41557       0.0814574      
61   0.305          -1.38386       0.0786711      
62   0.31           -1.35288       0.0760311      
63   0.315          -1.32262       0.0735282      
64   0.32           -1.29305       0.0711538      
65   0.325          -1.26415       0.0689001      
66   0.33           -1.23591       0.0667595      
67   0.335          -1.2083        0.0647254      
68   0.34           -1.18132       0.0627914      
69   0.345          -1.15494       0.0609515      
70   0.35           -1.12915       0.0592003      
71   0.355          -1.10393       0.0575326      
72   0.36           -1.07927       0.0559437      
73   0.365          -1.05516       0.054429       
74   0.37           -1.03157       0.0529845      
75   0.375          -1.00851       0.0516062      
76   0.38           -0.985944      0.0502905      
77   0.385          -0.963871      0.0490339      
78   0.39           -0.942277      0.0478334      
79   0.395          -0.92115       0.0466859      
80   0.4            -0.900478      0.0455887      
81   0.405          -0.88025       0.044539       
82   0.41           -0.860455      0.0435345      
83   0.415          -0.841083      0.0425729      
84   0.42           -0.822124      0.0416519      
85   0.425          -0.803566      0.0407695      
86   0.43           -0.785401      0.0399239      
87   0.435          -0.767619      0.0391132      
88   0.44           -0.750211      0.0383356      
89   0.445          -0.733167      0.0375897      
90   0.45           -0.716479      0.0368738      
91   0.455          -0.700138      0.0361866      
92   0.46           -0.684136      0.0355267      
93   0.465          -0.668465      0.0348928      
94   0.47           -0.653117      0.0342838      
95   0.475          -0.638083      0.0336984      
96   0.48           -0.623356      0.0331357      
97   0.485          -0.608929      0.0325945      
98   0.49           -0.594795      0.032074       
99   0.495          -0.580945      0.0315731      

INFO:
0    0              -9.09826       13.0572        
1    0.005          -8.56374       10.5025        
2    0.01           -8.08899       8.58582        
3    0.015          -7.66286       7.12156        
4    0.02           -7.27693       5.98295        
5    0.025          -6.92467       5.08341        
6    0.03           -6.601         4.36259        
7    0.035          -6.30185       3.77749        
8    0.04           -6.02391       3.29688        
9    0.045          -5.7645        2.89777        
10   0.05           -5.52138       2.56301        
11   0.055          -5.29271       2.27966        
12   0.06           -5.07693       2.03789        
13   0.065          -4.87273       1.8301         
14   0.07           -4.67899       1.65038        
15   0.075          -4.49474       1.49405        
16   0.08           -4.31916       1.3574         
17   0.085          -4.15152       1.2374         
18   0.09           -3.99121       1.1316         
